Age,Gender,Department,EducationLevel,WorkMode,ExperienceYears,MonthlySalarySAR,MonthlyHours,PerformanceScore,JobSatisfaction,Promotion
47.0,Male,Operations,PhD,Remote,4,16969.0,165.0,53,9.0,No
48.0,Male,Marketing,Master,Office,31,9171.0,150.0,63,5.0,No
36.0,Male,IT,Bachelor,Office,9,17090.0,159.0,88,2.0,No
40.94125874125874,Female,Finance,Bachelor,Remote,8,13320.0,166.0,75,5.0,No
23.0,Female,Operations,Bachelor,Hybrid,26,14112.0,158.0,57,4.0,No
57.0,Female,Finance,Master,Remote,12,10021.0,201.0,73,8.0,No
27.0,Female,Operations,Bachelor,Hybrid,18,12200.0,125.0,65,5.0,No
41.0,Male,Finance,Bachelor,Hybrid,20,9364.0,158.0,69,9.0,No
29.0,Male,HR,Diploma,Remote,23,9148.0,179.0,64,9.0,No
59.0,Male,Finance,Master,Office,3,15697.0,185.0,56,3.0,No
38.0,Female,Marketing,Bachelor,Remote,23,12402.0,222.0,66,10.0,No
24.0,Male,HR,Bachelor,Hybrid,34,8152.0,219.0,71,6.0,No
45.0,Male,Sales,Diploma,Remote,2,23797.0,140.0,71,6.0,No
34.0,Female,Operations,Master,Remote,3,8939.0,132.0,61,4.0,No
29.0,Female,Operations,Diploma,Hybrid,34,18914.0,181.0,67,10.0,No
46.0,Male,Operations,Bachelor,Office,30,7356.0,163.0,95,3.0,No
22.0,Male,Sales,PhD,Remote,24,16054.0,150.0,96,1.0,No
40.0,Male,IT,Bachelor,Hybrid,12,12872.0,180.0,64,7.0,No
48.0,Male,Operations,Bachelor,Hybrid,3,11169.0,186.0,86,5.0,No
27.0,Male,HR,Bachelor,Remote,13,14885.0,159.0,65,10.0,No
28.0,Male,Operations,Master,Office,12,14280.0,164.0,54,7.0,No
55.0,Female,Sales,Bachelor,Remote,26,10344.0,161.0,51,1.0,No
34.0,Female,Marketing,PhD,Office,5,10140.0,170.0,77,8.0,No
37.0,Female,HR,Diploma,Office,16,6917.0,194.0,90,3.0,No
56.0,Male,Sales,Bachelor,Office,34,15375.0,153.0,76,4.0,Yes
60.0,Female,Marketing,Bachelor,Office,16,8358.0,164.0,80,3.0,No
24.0,Male,HR,Master,Remote,1,14018.0,170.0,90,3.0,No
22.0,Male,Finance,Diploma,Hybrid,12,16666.0,180.0,85,10.0,No
26.0,Female,IT,Master,Hybrid,1,14936.0,187.0,96,9.0,No
24.0,Male,IT,Bachelor,Hybrid,27,10746.0,231.0,92,2.0,No
49.0,Male,Sales,Bachelor,Hybrid,25,18090.0,194.0,50,4.0,No
38.0,Female,Marketing,Diploma,Hybrid,21,12164.0,195.0,99,6.0,No
46.0,Female,IT,Master,Hybrid,2,7996.0,173.0,78,3.0,No
54.0,Female,Marketing,Diploma,Remote,34,12723.0,156.0,50,10.0,No
30.0,Male,Marketing,Bachelor,Office,11,16641.0,167.0,57,10.0,No
56.0,Female,Sales,Bachelor,Hybrid,23,10965.0,162.0,65,7.0,No
34.0,Female,Sales,Master,Remote,4,17952.0,190.0,77,7.0,No
51.0,Male,Sales,Bachelor,Hybrid,19,15631.141858839972,139.0,71,5.0,No
35.0,Female,IT,Master,Hybrid,12,11146.0,195.0,67,3.0,No
28.0,Female,Sales,Bachelor,Office,11,9293.0,177.0,71,2.0,No
34.0,Female,IT,Bachelor,Office,12,17077.0,198.0,90,4.0,No
43.0,Male,Sales,Bachelor,Office,9,13760.0,162.0,61,4.0,No
60.0,Male,Operations,Master,Hybrid,32,9591.0,157.0,68,8.0,No
41.0,Male,Marketing,Master,Hybrid,15,12217.0,170.0,74,8.0,No
38.0,Female,HR,Bachelor,Office,2,17501.0,200.0,54,4.0,No
44.0,Male,Marketing,Diploma,Remote,4,13232.0,200.0,83,8.0,No
46.0,Male,Marketing,Bachelor,Hybrid,25,3172.0,228.0,88,4.0,No
45.0,Female,Sales,Bachelor,Hybrid,10,7445.0,168.0,59,5.0,No
35.0,Female,Sales,Bachelor,Remote,9,8086.0,170.0,56,4.0,No
21.0,Male,Marketing,Bachelor,Hybrid,33,17570.0,186.0,86,2.0,No
45.0,Male,HR,Bachelor,Remote,2,15884.0,198.0,96,10.0,No
27.0,Male,Marketing,Bachelor,Hybrid,7,15618.0,188.0,64,4.0,No
29.0,Female,HR,Bachelor,Remote,30,2280.0,168.0,91,6.0,No
44.0,Female,IT,Diploma,Hybrid,10,11635.0,223.0,73,7.0,No
21.0,Male,Operations,Master,Office,6,10861.0,154.0,75,5.0,No
28.0,Female,Marketing,Bachelor,Office,1,9707.0,173.0,75,8.0,No
44.0,Female,Sales,Bachelor,Office,5,12132.0,153.0,95,9.0,No
31.0,Female,IT,Bachelor,Office,31,8932.0,180.0,75,2.0,No
37.0,Male,Operations,Bachelor,Hybrid,19,14968.0,220.0,59,4.0,No
28.0,Female,Sales,Diploma,Office,33,17449.0,176.0,66,9.0,No
55.0,Female,Finance,Bachelor,Remote,15,17062.0,177.0,63,5.0,No
55.0,Male,Sales,Master,Office,24,13379.0,138.0,51,3.0,No
53.0,Male,HR,Bachelor,Office,11,15631.141858839972,173.0,97,6.0,No
25.0,Female,HR,Bachelor,Office,6,19130.0,209.0,62,3.0,Yes
59.0,Female,Finance,Bachelor,Hybrid,16,13543.0,174.0,76,5.0,No
40.94125874125874,Male,IT,Diploma,Office,10,11830.0,172.0,58,3.0,No
40.94125874125874,Male,Operations,Bachelor,Remote,5,20021.0,208.0,56,6.0,No
29.0,Female,Sales,Master,Office,22,18534.0,172.0,97,10.0,No
28.0,Female,HR,Diploma,Office,26,7653.0,212.0,59,5.0,No
32.0,Female,IT,Bachelor,Office,5,18886.0,148.0,58,9.0,No
54.0,Female,Finance,Bachelor,Remote,1,13305.0,197.0,71,3.0,No
40.94125874125874,Male,Marketing,Bachelor,Office,21,10126.0,221.0,72,6.0,Yes
43.0,Female,HR,PhD,Remote,19,5094.0,205.0,56,8.0,No
44.0,Female,Finance,Diploma,Remote,24,12790.0,133.0,97,7.0,Yes
57.0,Male,Sales,Bachelor,Office,14,13945.0,164.0,58,6.0,No
55.0,Female,Operations,Diploma,Remote,28,21143.0,174.0,76,2.0,No
60.0,Male,HR,PhD,Hybrid,7,15631.141858839972,205.0,73,7.0,No
42.0,Female,HR,Diploma,Office,32,11377.0,147.0,78,8.0,No
47.0,Female,Sales,Bachelor,Office,21,15752.0,155.0,66,1.0,No
21.0,Male,IT,Bachelor,Remote,17,14387.0,159.0,56,4.0,Yes
55.0,Female,Operations,Bachelor,Office,29,11358.0,149.0,92,8.0,Yes
57.0,Female,HR,Bachelor,Hybrid,30,11605.0,220.0,89,10.0,No
34.0,Female,Operations,Bachelor,Remote,9,15735.0,164.0,56,7.0,No
23.0,Male,HR,Bachelor,Remote,14,15858.0,197.0,77,10.0,No
21.0,Female,Operations,Bachelor,Hybrid,17,12682.0,180.0,68,7.0,No
25.0,Male,Finance,Bachelor,Hybrid,22,2214.0,180.0,69,2.0,No
46.0,Male,HR,Bachelor,Office,32,8193.0,165.0,93,1.0,Yes
34.0,Female,Operations,Bachelor,Hybrid,15,16789.0,199.0,88,4.0,No
59.0,Male,IT,Bachelor,Office,34,4411.0,184.0,89,2.0,No
47.0,Female,Finance,PhD,Hybrid,33,19329.0,182.0,56,8.0,No
29.0,Female,Finance,Bachelor,Remote,27,18663.0,165.0,55,10.0,No
35.0,Female,IT,Diploma,Office,1,14185.0,169.0,74,7.0,No
35.0,Female,Operations,Diploma,Office,29,16691.0,195.0,90,8.0,No
46.0,Female,Sales,PhD,Office,12,16379.0,186.0,62,6.0,Yes
33.0,Male,IT,Bachelor,Hybrid,15,13474.0,183.0,88,1.0,No
52.0,Male,Operations,Diploma,Remote,4,7817.0,161.0,89,9.0,No
59.0,Female,IT,Bachelor,Office,27,18353.0,229.0,71,6.0,No
52.0,Female,Sales,Bachelor,Office,19,20333.0,168.0,98,4.0,Yes
50.0,Male,Operations,Bachelor,Office,26,7649.0,175.0,97,1.0,No
40.94125874125874,Male,Sales,Diploma,Remote,29,13384.0,229.0,71,8.0,No
43.0,Male,HR,PhD,Hybrid,26,11182.0,173.0,83,6.0,Yes
59.0,Female,IT,Bachelor,Remote,25,14652.0,170.0,57,8.0,No
35.0,Female,Marketing,Bachelor,Office,6,19436.0,183.0,98,8.0,No
40.94125874125874,Male,IT,Bachelor,Remote,4,3894.0,163.0,94,8.0,No
56.0,Female,IT,Bachelor,Office,22,21116.0,183.0,67,10.0,No
52.0,Female,Sales,Bachelor,Hybrid,33,16303.0,187.0,91,7.0,No
27.0,Male,HR,Bachelor,Hybrid,14,16784.0,187.0,51,10.0,No
42.0,Female,Sales,Master,Office,31,17309.0,162.0,51,4.0,No
48.0,Male,HR,Master,Remote,25,14279.0,223.0,76,9.0,No
22.0,Male,Finance,Diploma,Hybrid,30,15330.0,228.0,63,2.0,No
26.0,Female,IT,Diploma,Office,18,15301.0,201.0,97,9.0,No
48.0,Male,Marketing,Master,Office,8,11164.0,196.0,88,10.0,No
48.0,Female,IT,Bachelor,Remote,28,6089.0,174.0,61,4.0,No
40.0,Female,IT,Master,Hybrid,3,8514.0,190.0,81,2.0,Yes
50.0,Male,HR,Bachelor,Office,2,13531.0,159.0,77,4.0,Yes
31.0,Female,Marketing,Bachelor,Remote,28,10459.0,152.0,77,5.0,Yes
48.0,Female,Marketing,Bachelor,Hybrid,10,15631.141858839972,143.0,95,2.0,No
45.0,Female,Marketing,Bachelor,Remote,32,22097.0,190.0,74,1.0,No
59.0,Female,HR,Bachelor,Remote,10,17865.0,146.0,53,10.0,Yes
53.0,Female,IT,Diploma,Office,26,12866.0,168.0,75,5.0,No
21.0,Male,HR,Bachelor,Office,32,17024.0,178.0,85,9.0,No
47.0,Female,Operations,Bachelor,Office,20,12109.0,205.0,99,4.0,No
40.94125874125874,Female,Operations,Bachelor,Remote,30,14498.0,166.0,52,10.0,No
23.0,Female,HR,PhD,Office,1,15987.0,208.0,50,9.0,No
20.0,Female,Marketing,Bachelor,Remote,26,12121.0,203.0,66,10.0,No
26.0,Female,IT,Master,Remote,10,10916.0,153.0,56,6.0,No
28.0,Male,HR,Diploma,Office,17,19508.0,208.0,97,3.0,No
47.0,Female,HR,Bachelor,Hybrid,0,16764.0,173.0,54,4.0,Yes
29.0,Male,HR,PhD,Hybrid,34,3854.0,168.0,68,4.0,No
57.0,Male,Finance,Diploma,Hybrid,34,10993.0,173.0,88,1.0,No
53.0,Male,Operations,Diploma,Remote,30,10484.0,180.0,95,3.0,Yes
44.0,Male,Sales,Bachelor,Remote,27,11205.0,170.0,83,3.0,No
35.0,Female,Sales,Diploma,Remote,0,17881.0,159.0,84,1.0,No
52.0,Male,Marketing,Bachelor,Office,24,14086.0,161.0,98,9.0,No
52.0,Male,Sales,Master,Remote,19,7747.0,183.0,65,1.0,No
18.0,Female,Finance,Bachelor,Office,2,12276.0,176.0,89,9.0,Yes
32.0,Female,HR,Bachelor,Office,1,16438.0,193.0,99,1.0,No
59.0,Female,Finance,Bachelor,Hybrid,17,13012.0,181.0,96,2.0,Yes
22.0,Male,Finance,Bachelor,Hybrid,9,11099.0,182.0,88,2.0,No
23.0,Female,IT,Diploma,Hybrid,4,15490.0,195.0,76,6.0,No
57.0,Female,Operations,Bachelor,Office,8,21282.0,215.0,90,7.0,No
37.0,Male,Sales,Bachelor,Office,1,16076.0,216.0,87,1.0,No
22.0,Female,HR,Bachelor,Office,33,19854.0,214.0,99,3.0,No
22.0,Female,Sales,Bachelor,Remote,30,11401.0,202.0,99,2.0,No
48.0,Female,Marketing,Bachelor,Office,9,13962.0,232.0,74,8.0,No
43.0,Female,Sales,Diploma,Hybrid,11,13872.0,191.0,75,9.0,No
40.94125874125874,Male,Marketing,Diploma,Hybrid,20,14534.0,188.0,63,4.0,No
52.0,Female,Operations,Master,Office,5,15982.0,236.0,63,2.0,No
53.0,Female,Marketing,Bachelor,Office,2,9865.0,112.0,63,10.0,No
21.0,Male,Sales,Diploma,Hybrid,9,16913.0,175.0,74,9.0,No
39.0,Female,Sales,Bachelor,Office,4,6675.0,211.0,85,4.0,Yes
22.0,Male,Marketing,Bachelor,Hybrid,25,7989.0,205.0,53,5.0,No
46.0,Female,Finance,Bachelor,Remote,20,23610.0,244.0,96,9.0,No
52.0,Male,Operations,Bachelor,Hybrid,25,11704.0,183.0,64,6.0,No
26.0,Male,IT,Diploma,Remote,25,17283.0,169.0,81,10.0,No
52.0,Male,HR,Bachelor,Office,7,21642.0,172.0,67,9.0,Yes
24.0,Male,Sales,Bachelor,Office,4,3585.0,188.0,63,9.0,No
31.0,Female,HR,Bachelor,Remote,14,19068.0,221.0,50,7.0,Yes
37.0,Male,IT,Bachelor,Office,15,16920.0,221.0,91,10.0,No
58.0,Female,HR,Diploma,Remote,0,21382.0,179.0,69,9.0,Yes
39.0,Male,IT,PhD,Office,15,8683.0,186.0,59,5.0,No
25.0,Male,Marketing,Master,Hybrid,2,20531.0,165.0,59,5.0,No
54.0,Male,Finance,Master,Office,30,10673.0,167.0,73,8.0,No
26.0,Female,Sales,Master,Hybrid,12,18747.0,206.0,83,10.0,No
42.0,Male,IT,Master,Hybrid,15,13838.0,220.0,77,4.0,No
31.0,Female,HR,Bachelor,Remote,20,17468.0,163.0,76,4.0,No
36.0,Female,Sales,Bachelor,Office,1,14220.0,186.0,89,7.0,No
53.0,Female,Sales,Bachelor,Remote,26,5723.0,174.0,50,7.0,No
26.0,Female,Sales,Bachelor,Hybrid,24,14945.0,170.0,53,4.0,No
36.0,Female,IT,Bachelor,Hybrid,10,12813.0,132.0,56,7.0,No
49.0,Female,Finance,Diploma,Office,7,15792.0,205.0,58,5.0,No
23.0,Female,HR,Bachelor,Office,7,12865.0,172.0,65,3.0,Yes
40.0,Female,Finance,Master,Remote,32,23081.0,175.0,54,1.0,No
56.0,Male,Finance,Bachelor,Office,6,15037.0,191.0,83,7.0,No
39.0,Male,Operations,Bachelor,Office,20,11989.0,189.0,72,6.0,No
46.0,Male,Finance,Bachelor,Office,7,15518.0,191.0,92,10.0,Yes
23.0,Male,Finance,Bachelor,Remote,20,12071.0,139.0,99,7.0,No
39.0,Male,Sales,Master,Office,19,14418.0,194.0,74,2.0,No
40.0,Female,HR,Bachelor,Hybrid,7,8521.0,132.0,100,4.0,No
52.0,Female,Sales,Master,Remote,30,13961.0,199.0,62,2.0,No
27.0,Female,Sales,Bachelor,Remote,28,11850.0,208.0,73,8.0,No
53.0,Female,IT,Bachelor,Hybrid,8,8948.0,146.0,60,7.0,No
60.0,Female,Sales,Bachelor,Hybrid,14,22891.0,188.0,100,1.0,No
59.0,Female,Operations,Bachelor,Hybrid,29,9123.0,206.0,66,2.0,Yes
38.0,Female,Operations,Bachelor,Office,25,14031.0,169.0,86,2.0,No
60.0,Male,IT,Bachelor,Hybrid,9,10387.0,197.0,62,4.0,No
31.0,Male,HR,Master,Remote,15,8265.0,207.0,69,1.0,No
48.0,Male,HR,Diploma,Remote,19,17782.0,181.0,82,2.0,No
45.0,Female,Sales,Master,Hybrid,21,23163.0,174.0,91,9.0,No
43.0,Female,Sales,Bachelor,Office,6,10222.0,205.0,81,1.0,No
51.0,Female,Marketing,Bachelor,Hybrid,22,19476.0,223.0,57,9.0,No
50.0,Male,Sales,Diploma,Hybrid,28,12282.0,192.0,78,7.0,Yes
55.0,Female,HR,Bachelor,Office,15,20776.0,220.0,89,2.0,No
27.0,Female,Finance,Bachelor,Hybrid,27,23848.0,141.0,68,2.0,No
36.0,Female,Operations,Diploma,Remote,30,12948.0,197.0,55,4.0,No
46.0,Male,Finance,Bachelor,Hybrid,13,7159.0,177.0,93,5.0,No
22.0,Female,Finance,Master,Office,32,18266.0,160.0,88,4.0,No
21.0,Male,HR,Diploma,Office,8,15010.0,132.0,97,10.0,No
32.0,Male,Finance,Master,Remote,26,16258.0,195.0,90,10.0,No
25.0,Male,Marketing,Bachelor,Office,23,12471.0,202.0,70,3.0,No
57.0,Male,IT,Bachelor,Office,12,10020.0,214.0,71,4.0,No
52.0,Female,Sales,Bachelor,Remote,25,19222.0,209.0,91,10.0,No
29.0,Male,IT,Diploma,Hybrid,28,15439.0,161.0,59,4.0,No
55.0,Male,Operations,Diploma,Remote,27,7504.0,212.0,59,2.0,No
39.0,Female,Sales,Diploma,Hybrid,27,17091.0,215.0,78,5.0,No
36.0,Female,Finance,Diploma,Remote,7,16188.0,174.0,65,5.0,No
23.0,Male,Operations,Bachelor,Hybrid,22,12536.0,181.0,50,5.0,No
40.0,Female,Sales,Master,Remote,28,21289.0,157.0,66,10.0,No
44.0,Male,Sales,Master,Hybrid,4,11218.0,217.0,79,1.0,No
53.0,Male,Marketing,Bachelor,Remote,6,13240.0,142.0,75,6.0,No
44.0,Male,Marketing,Diploma,Hybrid,26,17459.0,193.0,95,2.0,No
31.0,Male,Marketing,Bachelor,Remote,1,14345.0,165.0,68,7.0,No
28.0,Female,Finance,Bachelor,Office,24,7770.0,152.0,70,4.0,Yes
56.0,Male,IT,Bachelor,Hybrid,8,14827.0,133.0,66,5.0,No
58.0,Female,Sales,Bachelor,Remote,26,12135.0,175.0,95,5.0,No
60.0,Female,Finance,Bachelor,Hybrid,0,15631.141858839972,148.0,89,5.0,No
40.0,Female,Marketing,Bachelor,Hybrid,22,14680.0,181.0,70,2.0,No
55.0,Female,IT,Bachelor,Remote,9,15631.141858839972,224.0,90,5.0,No
45.0,Male,Operations,Master,Hybrid,24,9283.0,185.0,89,3.0,No
55.0,Female,Operations,Master,Remote,2,15631.141858839972,230.0,94,4.0,Yes
45.0,Male,Operations,Bachelor,Office,5,18365.0,155.0,98,2.0,Yes
49.0,Female,Marketing,Master,Hybrid,5,10506.0,148.0,68,4.0,Yes
38.0,Female,Operations,PhD,Office,1,13854.0,154.0,56,9.0,No
38.0,Male,HR,Bachelor,Hybrid,17,9786.0,178.0,66,8.0,Yes
22.0,Male,Sales,Bachelor,Hybrid,22,8673.0,248.0,50,3.0,No
40.94125874125874,Male,Sales,Bachelor,Hybrid,1,13618.0,138.0,86,1.0,No
40.94125874125874,Female,Marketing,Master,Remote,11,14782.0,195.0,55,1.0,No
56.0,Female,HR,Master,Office,21,22972.0,163.0,75,6.0,No
53.0,Male,Finance,Diploma,Hybrid,19,11950.0,174.0,51,3.0,No
24.0,Male,Sales,Bachelor,Remote,23,13774.0,149.0,81,4.0,No
53.0,Male,Operations,Bachelor,Hybrid,19,8375.0,202.0,97,1.0,No
34.0,Male,IT,Bachelor,Remote,0,16755.0,179.0,54,8.0,Yes
41.0,Female,Finance,Diploma,Hybrid,0,15791.0,207.0,86,1.0,No
21.0,Male,IT,Master,Office,16,20698.0,184.0,80,5.0,No
28.0,Male,Sales,Bachelor,Office,0,19002.0,132.0,61,6.0,No
27.0,Male,IT,Master,Hybrid,29,15581.0,207.0,84,2.0,Yes
23.0,Male,Sales,Master,Remote,2,11885.0,130.0,79,7.0,No
37.0,Female,HR,Bachelor,Hybrid,10,14921.0,133.0,97,7.0,No
53.0,Male,HR,Bachelor,Remote,23,13500.0,157.0,55,1.0,Yes
32.0,Female,Marketing,Bachelor,Hybrid,21,18290.0,157.0,64,4.0,No
42.0,Male,Marketing,Diploma,Remote,25,17718.0,215.0,64,4.0,No
42.0,Male,Operations,Bachelor,Office,12,12666.0,176.0,65,5.0,No
50.0,Female,Finance,Diploma,Hybrid,0,7421.0,211.0,69,1.0,No
58.0,Male,Operations,Bachelor,Office,23,20000.0,166.0,62,1.0,No
58.0,Female,Sales,Bachelor,Office,9,16618.0,188.0,93,7.0,No
28.0,Female,Sales,Diploma,Hybrid,34,12562.0,192.0,91,9.0,Yes
47.0,Male,IT,Diploma,Hybrid,23,18304.0,197.0,95,1.0,Yes
47.0,Female,Sales,Diploma,Remote,27,14337.0,168.0,80,2.0,No
54.0,Female,Marketing,Bachelor,Remote,15,19934.0,171.0,83,6.0,No
41.0,Female,HR,Bachelor,Office,15,5316.0,173.0,78,6.0,Yes
50.0,Female,Marketing,Bachelor,Remote,16,13118.0,139.0,52,2.0,No
53.0,Female,Finance,Diploma,Remote,14,21196.0,178.0,58,9.0,No
48.0,Female,Sales,Diploma,Hybrid,15,16534.0,170.0,60,4.0,No
53.0,Female,Sales,Diploma,Remote,14,21977.0,195.0,60,7.0,No
25.0,Female,IT,Diploma,Office,33,15631.141858839972,182.0,74,6.0,No
39.0,Male,Finance,Master,Remote,10,18825.0,213.0,71,3.0,No
24.0,Male,HR,Bachelor,Office,0,15631.141858839972,182.0,91,8.0,No
55.0,Female,Sales,Bachelor,Hybrid,14,6432.0,166.0,95,7.0,Yes
37.0,Male,Sales,Diploma,Office,25,12670.0,181.0,58,9.0,No
48.0,Female,IT,Bachelor,Remote,3,13521.0,198.0,69,3.0,No
50.0,Female,Operations,Bachelor,Hybrid,4,6712.0,136.0,70,1.0,Yes
49.0,Male,HR,Bachelor,Remote,34,12764.0,162.0,59,2.0,No
26.0,Female,Marketing,Bachelor,Hybrid,12,17929.0,163.0,71,1.0,No
55.0,Female,Finance,Diploma,Hybrid,9,12241.0,190.0,78,5.0,No
40.94125874125874,Female,Sales,Bachelor,Remote,10,15090.0,193.0,58,10.0,No
44.0,Female,Sales,Bachelor,Remote,17,15122.0,183.0,54,4.0,No
49.0,Male,Marketing,Bachelor,Hybrid,33,13945.0,118.0,89,3.0,No
51.0,Female,HR,PhD,Hybrid,22,10827.0,139.0,60,8.0,No
55.0,Female,Operations,Bachelor,Remote,6,16965.0,174.0,50,10.0,Yes
53.0,Female,Sales,Bachelor,Office,2,6858.0,167.0,91,5.0,No
41.0,Male,HR,Bachelor,Remote,11,14039.0,180.0,50,4.0,No
52.0,Female,Marketing,Bachelor,Hybrid,6,15638.0,168.0,88,5.0,No
43.0,Male,IT,Bachelor,Remote,25,11987.0,218.0,95,10.0,No
53.0,Male,Operations,Bachelor,Office,32,10727.0,123.0,54,6.0,No
23.0,Female,Finance,Bachelor,Remote,14,17265.0,188.0,98,7.0,No
38.0,Female,Sales,Diploma,Hybrid,1,14735.0,201.0,71,9.0,No
45.0,Male,HR,Bachelor,Remote,6,17355.0,198.0,75,1.0,No
51.0,Female,IT,Bachelor,Hybrid,31,15631.141858839972,200.0,55,4.0,No
23.0,Male,Finance,Master,Hybrid,3,3253.0,203.0,81,9.0,No
60.0,Male,HR,Bachelor,Remote,19,19310.0,165.0,97,5.0,Yes
44.0,Female,HR,Bachelor,Hybrid,31,23315.0,152.0,60,8.0,No
52.0,Female,Finance,Diploma,Hybrid,27,15631.141858839972,129.0,59,1.0,No
42.0,Male,IT,Bachelor,Office,12,1925.0,171.0,96,4.0,No
43.0,Male,Marketing,Diploma,Office,0,16030.0,161.0,88,9.0,No
22.0,Male,IT,Bachelor,Office,34,11900.0,209.0,83,1.0,No
47.0,Male,Operations,Diploma,Office,29,9121.0,173.0,80,1.0,No
22.0,Female,Sales,Bachelor,Hybrid,24,14552.0,154.0,61,4.0,No
46.0,Female,Finance,Bachelor,Remote,15,13330.0,150.0,100,3.0,No
37.0,Female,Sales,Bachelor,Hybrid,18,16289.0,230.0,93,7.0,No
60.0,Female,Finance,Master,Hybrid,0,14255.0,179.0,65,3.0,No
53.0,Female,Sales,Bachelor,Hybrid,4,8956.0,160.0,87,1.0,No
20.0,Male,IT,Bachelor,Remote,21,15631.141858839972,183.0,52,10.0,No
59.0,Female,Sales,Bachelor,Office,23,10679.0,227.0,51,2.0,No
49.0,Female,Operations,Diploma,Hybrid,3,6276.0,170.0,54,10.0,Yes
46.0,Female,HR,Master,Hybrid,17,7828.0,197.0,60,4.0,No
55.0,Female,HR,Diploma,Office,15,13050.0,210.0,74,1.0,No
45.0,Female,Finance,Bachelor,Hybrid,17,20407.0,133.0,84,1.0,Yes
44.0,Male,Sales,Bachelor,Remote,21,11590.0,164.0,84,8.0,No
33.0,Male,Marketing,Bachelor,Hybrid,1,10592.0,207.0,71,7.0,No
27.0,Male,IT,Bachelor,Hybrid,20,8684.0,163.0,86,8.0,No
56.0,Female,Sales,Bachelor,Office,28,14137.0,190.0,71,4.0,No
40.0,Male,Sales,Diploma,Hybrid,25,19307.0,161.0,60,6.0,No
21.0,Male,IT,Bachelor,Hybrid,20,23012.0,169.0,81,3.0,Yes
28.0,Female,Finance,Bachelor,Remote,16,15284.0,166.0,84,8.0,No
40.94125874125874,Female,Sales,Master,Office,15,14630.0,196.0,80,4.0,No
34.0,Female,HR,Master,Office,30,11554.0,185.0,94,3.0,No
32.0,Male,IT,Master,Remote,8,12305.0,182.0,57,4.0,No
43.0,Male,Marketing,Bachelor,Hybrid,30,16831.0,243.0,69,6.0,No
35.0,Female,Operations,Bachelor,Office,13,12583.0,223.0,91,7.0,No
48.0,Female,Finance,Master,Office,1,13270.0,130.0,83,7.0,No
54.0,Male,IT,Bachelor,Hybrid,13,13886.0,169.0,53,4.0,No
22.0,Male,Operations,Diploma,Hybrid,32,11341.0,241.0,67,8.0,No
52.0,Female,Operations,Master,Office,34,15631.141858839972,166.0,100,7.0,No
43.0,Female,Marketing,Master,Hybrid,19,4913.0,232.0,53,2.0,No
42.0,Male,Sales,Bachelor,Office,1,16470.0,169.0,69,8.0,No
45.0,Female,Marketing,Diploma,Hybrid,18,24583.0,174.0,58,9.0,Yes
40.94125874125874,Male,Sales,Bachelor,Hybrid,17,11516.0,202.0,65,5.0,No
42.0,Male,Sales,Master,Remote,15,15682.0,178.0,75,4.0,No
26.0,Male,IT,Master,Hybrid,3,17832.0,192.0,87,4.0,No
35.0,Male,Sales,Bachelor,Remote,11,19761.0,219.0,74,4.0,No
57.0,Female,Finance,Diploma,Hybrid,28,12811.0,199.0,53,6.0,No
